Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_27_988.jpg;0;1;0;2.776648;103.0561;89.6329;1.358074;50.03169;-0.00141446
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_038.jpg;0;1;0;2.818744;103.1291;89.71928;1.358763;50.02405;-0.001431621
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_107.jpg;0;1;0;2.860688;103.2773;89.89454;1.357325;50.00847;-0.001414192
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_158.jpg;0;1;0;2.902462;103.3525;89.98347;1.359759;50.00149;-0.0009750707
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_227.jpg;0;1;0;2.943802;103.5052;90.16383;1.366152;49.98195;-0.001447665
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_294.jpg;0;1;0;2.985323;103.6216;90.30124;1.366929;49.96927;-0.001446677
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_359.jpg;0;1;0;3.040905;103.7396;90.44057;1.371991;49.95622;-0.001358957
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_423.jpg;0;1;0;3.081361;103.8593;90.5817;1.375115;49.94193;-0.001490424
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_490.jpg;0;1;0;3.122434;104.0213;90.77276;1.376442;49.92559;-0.001035499
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_556.jpg;-1.921492;1;0;3.163046;104.1451;90.91785;1.378527;49.81667;-0.001077454
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_606.jpg;0;1;0;3.217649;104.2706;91.06477;1.382911;49.7288;-0.00110273
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_654.jpg;0;1;0;3.243984;104.3551;91.16371;1.384388;49.70224;-0.001400918
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_721.jpg;-1.925282;1;0;3.284214;104.4835;91.31355;1.391722;49.64304;-0.001415174
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_790.jpg;-1.961346;1;0;3.323541;104.6589;91.51423;1.386417;49.15908;0.0001648799
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_856.jpg;0;1;0;3.364338;104.7923;91.66708;1.395153;48.99384;-0.00151958
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_921.jpg;-2.033157;1;0;3.417048;104.9275;91.8215;1.39919;48.90574;-0.001510562
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_28_988.jpg;-1.893368;1;0;3.455571;105.1122;92.02818;1.397395;48.41846;-0.0002526854
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_056.jpg;0;1;0;3.495949;105.2526;92.18534;1.40657;48.25359;-0.002038518
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_120.jpg;-0.08824468;1;0;3.548063;105.3951;92.34377;1.409014;48.10635;-0.001470536
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_188.jpg;0;1;0;3.587659;105.5878;92.55757;1.416092;48.03176;-0.002476166
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_255.jpg;0;1;0;3.626373;105.7342;92.71976;1.41837;48.0146;-0.002383559
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_321.jpg;0;1;0;3.678823;105.8824;92.88356;1.420224;48.00282;-0.002161992
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_391.jpg;0;1;0;3.716912;106.0826;93.10452;1.427195;47.9856;-0.001429981
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_456.jpg;0;1;0;3.755612;106.2347;93.27205;1.429023;47.96953;-0.001288478
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_518.jpg;0;1;0;3.807534;106.3885;93.44121;1.43221;47.95042;-0.001626947
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_29_569.jpg;0;1;0;3.832668;106.5439;93.61198;1.432803;47.93179;-0.001627801
